,taxon_name_w_authors,v10_11_12_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species_w_author,v13_direct_accepted_name_w_author,v13_direct_accepted_species_w_author,v13_chained_accepted_genus,v13_direct_accepted_genus
414154,Gnaphalium petiolatum L.,Helichrysum petiolare Hilliard & B.L.Burtt,Helichrysum petiolare Hilliard & B.L.Burtt,Helichrysum petiolare Hilliard & B.L.Burtt,Helichrysum petiolare Hilliard & B.L.Burtt,Staehelina petiolata (L.) Hilliard & B.L.Burtt,Staehelina petiolata (L.) Hilliard & B.L.Burtt,Helichrysum,Staehelina
414755,Gnaphalium simplex A.Rich.,Euchiton collinus Cass.,Euchiton collinus Cass.,Euchiton collinus Cass.,Euchiton collinus Cass.,"Pseudognaphalium lanatum (G.Forst.) Smissen, Breitw. & de Lange","Pseudognaphalium lanatum (G.Forst.) Smissen, Breitw. & de Lange",Euchiton,Pseudognaphalium
416290,Dichrocephala paniculata Miq.,Dichrocephala integrifolia subsp. integrifolia,Dichrocephala integrifolia subsp. integrifolia,Dichrocephala integrifolia subsp. integrifolia,Dichrocephala integrifolia (L.f.) Kuntze,Myriactis javanica (Blume) DC.,Myriactis javanica (Blume) DC.,Dichrocephala,Myriactis
416758,Olearia arguta var. lanata Benth.,Camptacra gracilis (Benth.) Lander,Camptacra gracilis (Benth.) Lander,Camptacra gracilis (Benth.) Lander,Camptacra gracilis (Benth.) Lander,Olearia arguta var. lanata Benth.,Olearia arguta Benth.,Camptacra,Olearia
416761,Aster argutus R.Br. ex Benth.,Camptacra gracilis (Benth.) Lander,Camptacra gracilis (Benth.) Lander,Camptacra gracilis (Benth.) Lander,Camptacra gracilis (Benth.) Lander,Olearia arguta var. arguta,Olearia arguta Benth.,Camptacra,Olearia
416762,Olearia arguta Benth.,Camptacra gracilis (Benth.) Lander,Camptacra gracilis (Benth.) Lander,Camptacra gracilis (Benth.) Lander,Camptacra gracilis (Benth.) Lander,Olearia arguta Benth.,Olearia arguta Benth.,Camptacra,Olearia
416863,Brachyscome scapiformis var. glabra DC.,Vittadinia spathulata F.Muell. ex Sond.,Vittadinia spathulata F.Muell. ex Sond.,Vittadinia spathulata F.Muell. ex Sond.,Vittadinia spathulata F.Muell. ex Sond.,Brachyscome spathulata Gaudich.,Brachyscome spathulata Gaudich.,Vittadinia,Brachyscome
422227,Inula saxatilis Lam.,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa (L.) Greuter,Chiliadenus glutinosus (L.) Fourr.,Chiliadenus glutinosus (L.) Fourr.,Dittrichia,Chiliadenus
422229,Chiliadenus saxatilis (Lam.) Brullo,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa (L.) Greuter,Chiliadenus glutinosus (L.) Fourr.,Chiliadenus glutinosus (L.) Fourr.,Dittrichia,Chiliadenus
436379,Dryopteris disjuncta f. glandulosa (R.M.Tryon) Cody,Gymnocarpium disjunctum (Rupr.) Ching,Gymnocarpium disjunctum (Rupr.) Ching,Gymnocarpium disjunctum (Rupr.) Ching,Gymnocarpium disjunctum (Rupr.) Ching,Thelypteris maxoniana A.R.Sm.,Thelypteris maxoniana A.R.Sm.,Gymnocarpium,Thelypteris
436450,Cyathea attenuata Fée,Cyathea mexiae Copel.,Cyathea mexiae Copel.,Cyathea mexiae Copel.,Cyathea mexiae Copel.,Sphaeropteris gardneri (Hook.) R.M.Tryon,Sphaeropteris gardneri (Hook.) R.M.Tryon,Cyathea,Sphaeropteris
436451,Cyathea incurvata Kunze,Cyathea mexiae Copel.,Cyathea mexiae Copel.,Cyathea mexiae Copel.,Cyathea mexiae Copel.,Sphaeropteris gardneri (Hook.) R.M.Tryon,Sphaeropteris gardneri (Hook.) R.M.Tryon,Cyathea,Sphaeropteris
436452,Cyathea mamillata Fée,Cyathea mexiae Copel.,Cyathea mexiae Copel.,Cyathea mexiae Copel.,Cyathea mexiae Copel.,Sphaeropteris gardneri (Hook.) R.M.Tryon,Sphaeropteris gardneri (Hook.) R.M.Tryon,Cyathea,Sphaeropteris
436453,Cyathea taunaysiana Glaz. & Fée,Cyathea mexiae Copel.,Cyathea mexiae Copel.,Cyathea mexiae Copel.,Cyathea mexiae Copel.,Sphaeropteris gardneri (Hook.) R.M.Tryon,Sphaeropteris gardneri (Hook.) R.M.Tryon,Cyathea,Sphaeropteris
436454,Sphaeropteris gardneri (Hook.) R.M.Tryon,Cyathea mexiae Copel.,Cyathea mexiae Copel.,Cyathea mexiae Copel.,Cyathea mexiae Copel.,Sphaeropteris gardneri (Hook.) R.M.Tryon,Sphaeropteris gardneri (Hook.) R.M.Tryon,Cyathea,Sphaeropteris
436719,Cyathea incanescens Domin,Cyathea incana H.Karst.,Cyathea incana H.Karst.,Cyathea incana H.Karst.,Cyathea incana H.Karst.,Alsophila manniana (Hook.) R.M.Tryon,Alsophila manniana (Hook.) R.M.Tryon,Cyathea,Alsophila
437353,Asplenium arifolium Burm.f.,Acrostichum aureum L.,Acrostichum aureum L.,Acrostichum aureum L.,Acrostichum aureum L.,Hemionitis arifolia (Burm.f.) T.Moore,Hemionitis arifolia (Burm.f.) T.Moore,Acrostichum,Hemionitis
441123,Polypodium berteroanum Spreng.,Megalastrum inaequalifolium (Colla) A.R.Sm. & R.C.Moran,Megalastrum inaequalifolium (Colla) A.R.Sm. & R.C.Moran,Megalastrum inaequalifolium (Colla) A.R.Sm. & R.C.Moran,Megalastrum inaequalifolium (Colla) A.R.Sm. & R.C.Moran,Rumohra adiantiformis (G.Forst.) Ching,Rumohra adiantiformis (G.Forst.) Ching,Megalastrum,Rumohra
443011,Polypodium parkinsonii Baker,Phymatosorus parksii (Copel.) Brownlie,Phymatosorus parksii (Copel.) Brownlie,Phymatosorus parksii (Copel.) Brownlie,Phymatosorus parksii (Copel.) Brownlie,Drynaria parkinsonii (Baker) Diels,Drynaria parkinsonii (Baker) Diels,Phymatosorus,Drynaria
443386,Polypodium loriceum var. umbraticum Christ,Polypodium plectolepidioides Rosenst.,Polypodium plectolepidioides Rosenst.,Polypodium plectolepidioides Rosenst.,Polypodium plectolepidioides Rosenst.,Serpocaulon dissimile (L.) A.R.Sm.,Serpocaulon dissimile (L.) A.R.Sm.,Polypodium,Serpocaulon
446085,Alsophila fragilis Zoll. & Moritzi,Thelypteris lineata (Blume) K.Iwats.,Thelypteris lineata (Blume) K.Iwats.,Thelypteris lineata (Blume) K.Iwats.,Thelypteris lineata (Blume) K.Iwats.,Arachniodes aristata (G.Forst.) Tindale,Arachniodes aristata (G.Forst.) Tindale,Thelypteris,Arachniodes
446090,Meniscium fragile Kunze,Thelypteris lineata (Blume) K.Iwats.,Thelypteris lineata (Blume) K.Iwats.,Thelypteris lineata (Blume) K.Iwats.,Thelypteris lineata (Blume) K.Iwats.,Arachniodes aristata (G.Forst.) Tindale,Arachniodes aristata (G.Forst.) Tindale,Thelypteris,Arachniodes
447084,Paradavallodes chingiae (Ching) Ching,Davallodes membranulosa (Wall. ex Hook.) Copel.,Davallodes membranulosa (Wall. ex Hook.) Copel.,Davallodes membranulosa (Wall. ex Hook.) Copel.,Davallodes membranulosa (Wall. ex Hook.) Copel.,Davallia chingiae (Ching) Xiao D.Ma & F.G.Wang,Davallia chingiae (Ching) Xiao D.Ma & F.G.Wang,Davallodes,Davallia
451802,Hedysarum oxalifolium Buch.-Ham. ex Benn.,Sohmaea laxiflora (DC.) H.Ohashi & K.Ohashi,Sohmaea laxiflora (DC.) H.Ohashi & K.Ohashi,Sohmaea laxiflora (DC.) H.Ohashi & K.Ohashi,Sohmaea laxiflora (DC.) H.Ohashi & K.Ohashi,Eleiotis rottleri Wight & Arn.,Eleiotis rottleri Wight & Arn.,Sohmaea,Eleiotis
453668,Ulex parviflorus subsp. willkommii (Webb) Borja & al.,Ulex parviflorus subsp. parviflorus,Ulex parviflorus subsp. parviflorus,Ulex parviflorus subsp. parviflorus,Ulex parviflorus Pourr.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Ulex,Stauracanthus
453675,Ulex parviflorus var. willkommii (Webb) C.Vicioso,Ulex parviflorus subsp. parviflorus,Ulex parviflorus subsp. parviflorus,Ulex parviflorus subsp. parviflorus,Ulex parviflorus Pourr.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Ulex,Stauracanthus
453678,Ulex scaber var. willkommii (Webb) Samp.,Ulex parviflorus subsp. parviflorus,Ulex parviflorus subsp. parviflorus,Ulex parviflorus subsp. parviflorus,Ulex parviflorus Pourr.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Ulex,Stauracanthus
453681,Ulex willkommii Webb,Ulex parviflorus subsp. parviflorus,Ulex parviflorus subsp. parviflorus,Ulex parviflorus subsp. parviflorus,Ulex parviflorus Pourr.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Ulex,Stauracanthus
462908,Moronobea grandiflora Choisy,Platonia insignis var. insignis,Platonia insignis var. insignis,Platonia insignis var. insignis,Platonia insignis Mart.,Moronobea coccinea Aubl.,Moronobea coccinea Aubl.,Platonia,Moronobea
462912,Moronobea montana Schltdl.,Platonia insignis var. insignis,Platonia insignis var. insignis,Platonia insignis var. insignis,Platonia insignis Mart.,Moronobea coccinea Aubl.,Moronobea coccinea Aubl.,Platonia,Moronobea
464971,Valeriana pygmaea Turcz.,Valeriana alypifolia subsp. alypifolia,Valeriana alypifolia subsp. alypifolia,Valeriana alypifolia subsp. alypifolia,Valeriana alypifolia Kunth,"Borealandea nubigena (Bonpl.) Al-Shehbaz, Salariato, A.Cano & Zuloaga","Borealandea nubigena (Bonpl.) Al-Shehbaz, Salariato, A.Cano & Zuloaga",Valeriana,Borealandea
468247,Rhamnus buxifolia Poir.,Rhamnus oleoides subsp. oleoides,Rhamnus oleoides subsp. oleoides,Rhamnus oleoides subsp. oleoides,Rhamnus oleoides L.,Flueggea tinctoria (L.) G.L.Webster,Flueggea tinctoria (L.) G.L.Webster,Rhamnus,Flueggea
474935,Ligusticum apiifolium Desf.,Carum appuanum subsp. appuanum,Carum appuanum subsp. appuanum,Carum appuanum subsp. appuanum,Carum appuanum (Viv.) Grande,Cnidium silaifolium (Jacq.) Simonk.,Cnidium silaifolium (Jacq.) Simonk.,Carum,Cnidium
477809,Euphoria leichhardtii var. hebepetala Benth.,Dimocarpus longan subsp. longan,Dimocarpus longan subsp. longan,Dimocarpus longan subsp. longan,Dimocarpus longan Lour.,Arytera foveolata F.Muell.,Arytera foveolata F.Muell.,Dimocarpus,Arytera
477816,Arytera leichhardtii var. hebepetala (Benth.) Radlk.,Dimocarpus longan subsp. longan,Dimocarpus longan subsp. longan,Dimocarpus longan subsp. longan,Dimocarpus longan Lour.,Arytera foveolata F.Muell.,Arytera foveolata F.Muell.,Dimocarpus,Arytera
479736,Eurya latifolia variegata Veitch ex J.Dix,Eurya japonica var. japonica,Eurya japonica var. japonica,Eurya japonica var. japonica,Eurya japonica Thunb.,Cleyera japonica var. japonica,Cleyera japonica Thunb.,Eurya,Cleyera
481414,Cistus punctatus Willd.,Helianthemum salicifolium var. salicifolium,Helianthemum salicifolium var. salicifolium,Helianthemum salicifolium var. salicifolium,Helianthemum salicifolium (L.) Mill.,Tuberaria guttata (L.) Fourr.,Tuberaria guttata (L.) Fourr.,Helianthemum,Tuberaria
482320,Lepidium draba var. matritense (Pau) Thell.,Iberis carnosa subsp. carnosa,Iberis carnosa subsp. carnosa,Iberis carnosa subsp. carnosa,Iberis carnosa Willd.,Lepidium draba L.,Lepidium draba L.,Iberis,Lepidium
483654,Anthemis valentina L.,Porophyllum ruderale var. ruderale,Porophyllum ruderale var. ruderale,Porophyllum ruderale var. ruderale,Porophyllum ruderale (Jacq.) Cass.,Anacyclus radiatus Loisel.,Anacyclus radiatus Loisel.,Porophyllum,Anacyclus
507727,Citharexylum flexuosum var. subglabrum Moldenke,Citharexylum flexuosum (Ruiz & Pav.) D.Don,Citharexylum flexuosum (Ruiz & Pav.) D.Don,Citharexylum flexuosum (Ruiz & Pav.) D.Don,Citharexylum flexuosum (Ruiz & Pav.) D.Don,Lycium americanum Jacq.,Lycium americanum Jacq.,Citharexylum,Lycium
510385,Nertera dentata Elmer,Nertera granadensis var. granadensis,Nertera granadensis var. granadensis,Nertera granadensis var. granadensis,Nertera granadensis (Mutis ex L.f.) Druce,Hemiphragma heterophyllum var. dentatum (Elmer) T.Yamaz.,Hemiphragma heterophyllum Wall.,Nertera,Hemiphragma
519014,Katherinea perakensis (Hook.f.) A.D.Hawkes,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
519016,Octomeria vaginata Breda,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
519017,Dendrobium perakense Hook.f.,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
519018,Sarcopodium perakense (Hook.f.) Kraenzl.,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
519019,Eria micholitzii Kraenzl.,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
519020,Callista perakensis (Hook.f.) Kuntze,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
519021,Dendrolirium rugosum Blume,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
519022,Eria inamoena Schltr.,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
519023,Eria fragrans Rchb.f.,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
519024,Eria striolata Rchb.f.,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
519025,Eria stellata Lindl.,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
519026,Eria papuana Kraenzl.,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
519027,Eria pseudostellata Schltr.,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
519028,"Eria vaginata (Breda, Kuhl & Hasselt) Benth.",Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
519029,Eria cochleata Lindl.,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria cochleata Lindl.,Eria cochleata Lindl.,Bulbophyllum,Eria
526595,Gymnadenia odoratissima var. heteroglossa Rchb.f.,Gymnadenia odoratissima (L.) Rich.,Gymnadenia odoratissima (L.) Rich.,Gymnadenia odoratissima (L.) Rich.,Gymnadenia odoratissima (L.) Rich.,× Chamodenia heteroglossa (Rchb.f.) Peitz,× Chamodenia heteroglossa (Rchb.f.) Peitz,Gymnadenia,× Chamodenia
530879,Zornia Moench,Lallemantia Fisch. & C.A.Mey.,Lallemantia Fisch. & C.A.Mey.,Dracocephalum L.,,Dracocephalum canescens L.,Dracocephalum canescens L.,,Dracocephalum
531585,Leidesia capensis (L.f.) Müll.Arg.,Leidesia procumbens (L.) Prain,Leidesia procumbens (L.) Prain,Leidesia procumbens (L.) Prain,Leidesia procumbens (L.) Prain,Didymodoxa capensis (L.f.) Friis & Wilmot-Dear,Didymodoxa capensis (L.f.) Friis & Wilmot-Dear,Leidesia,Didymodoxa
531590,Mercurialis capensis (L.f.) Spreng. ex Sond.,Leidesia procumbens (L.) Prain,Leidesia procumbens (L.) Prain,Leidesia procumbens (L.) Prain,Leidesia procumbens (L.) Prain,Didymodoxa capensis (L.f.) Friis & Wilmot-Dear,Didymodoxa capensis (L.f.) Friis & Wilmot-Dear,Leidesia,Didymodoxa
532389,Andrachne cavaleriei H.Lév.,Leptopus chinensis (Bunge) Pojark.,Leptopus chinensis (Bunge) Pojark.,Leptopus chinensis (Bunge) Pojark.,Leptopus chinensis (Bunge) Pojark.,Lysimachia capillipes var. cavaleriei (H.Lév.) Hand.-Mazz.,Lysimachia capillipes Hemsl.,Leptopus,Lysimachia
538015,Mentha perilloides L.,Mesosphaerum pectinatum (L.) Kuntze,Mesosphaerum pectinatum (L.) Kuntze,Mesosphaerum pectinatum (L.) Kuntze,Mesosphaerum pectinatum (L.) Kuntze,Perilla frutescens (L.) Britton,Perilla frutescens (L.) Britton,Mesosphaerum,Perilla
554077,Cleisostoma ornithorrhynchum (Rchb.f.) Garay,Robiquetia rosea (Lindl.) Garay,Robiquetia rosea (Lindl.) Garay,Robiquetia rosea (Lindl.) Garay,Robiquetia rosea (Lindl.) Garay,Cleisostoma discolor Lindl.,Cleisostoma discolor Lindl.,Robiquetia,Cleisostoma
554080,Sarcanthus ornithorrhynchus Rchb.f.,Robiquetia rosea (Lindl.) Garay,Robiquetia rosea (Lindl.) Garay,Robiquetia rosea (Lindl.) Garay,Robiquetia rosea (Lindl.) Garay,Cleisostoma discolor Lindl.,Cleisostoma discolor Lindl.,Robiquetia,Cleisostoma
564877,Elaeagia subspicata Standl.,Warszewiczia longistaminea K.Schum.,Warszewiczia longistaminea K.Schum.,Warszewiczia longistaminea K.Schum.,Warszewiczia longistaminea K.Schum.,Bathysa subspicata (Standl.) C.M.Taylor,Bathysa subspicata (Standl.) C.M.Taylor,Warszewiczia,Bathysa
575486,Scirpus scheuchzeri Hartmann,Eriophorum scheuchzeri Hoppe,Eriophorum scheuchzeri Hoppe,Eriophorum scheuchzeri Hoppe,Eriophorum scheuchzeri Hoppe,Eleocharis quinqueflora (Hartmann) O.Schwarz,Eleocharis quinqueflora (Hartmann) O.Schwarz,Eriophorum,Eleocharis
581886,Paepalanthus vaginatus Körn.,Syngonanthus fischerianus (Bong.) Ruhland,Syngonanthus fischerianus (Bong.) Ruhland,Syngonanthus fischerianus (Bong.) Ruhland,Syngonanthus fischerianus (Bong.) Ruhland,Paepalanthus vaginatus Körn.,Paepalanthus vaginatus Körn.,Syngonanthus,Paepalanthus
583139,Amomum latifolium Lam.,Zingiber zerumbet (L.) Roscoe ex Sm.,Zingiber zerumbet (L.) Roscoe ex Sm.,Zingiber zerumbet (L.) Roscoe ex Sm.,Zingiber zerumbet (L.) Roscoe ex Sm.,Curcuma longa L.,Curcuma longa L.,Zingiber,Curcuma
598677,Setilobus neves-armondii Bureau & K.Schum.,Cuspidaria simplicifolia DC.,Cuspidaria simplicifolia DC.,Cuspidaria simplicifolia DC.,Cuspidaria simplicifolia DC.,Fridericia bracteata (Baill. ex Bureau & K.Schum.) J.N.C.Franc. & L.G.Lohmann,Fridericia bracteata (Baill. ex Bureau & K.Schum.) J.N.C.Franc. & L.G.Lohmann,Cuspidaria,Fridericia
615342,Agrostis frondosa Ten. ex Spreng.,Agrostis castellana Boiss. & Reut.,Agrostis castellana Boiss. & Reut.,Agrostis castellana Boiss. & Reut.,Agrostis castellana Boiss. & Reut.,Polypogon viridis (Gouan) Breistr.,Polypogon viridis (Gouan) Breistr.,Agrostis,Polypogon
636873,Leochilus parviflorus Standl. & L.O.Williams,Leochilus inconspicuus (Kraenzl.) M.W.Chase & N.H.Williams,Leochilus inconspicuus (Kraenzl.) M.W.Chase & N.H.Williams,Trichocentrum candidum Lindl.,Trichocentrum candidum Lindl.,Leochilus candelariae (Kraenzl.) Pupulin,Leochilus candelariae (Kraenzl.) Pupulin,Trichocentrum,Leochilus
643449,Avena alpina Honck.,Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa (L.) P.Beauv.,Helictochloa versicolor subsp. versicolor,Helictochloa versicolor (Vill.) Romero Zarco,Deschampsia,Helictochloa
666818,Geodorum citrinum Andrews,Phaius amboinensis Blume,Phaius amboinensis Blume,Phaius amboinensis Blume,Phaius amboinensis Blume,Eulophia citrina (Andrews) Ormerod & Kurzweil,Eulophia citrina (Andrews) Ormerod & Kurzweil,Phaius,Eulophia
669726,Lobivia pentlandii var. forbesii (A.Dietr.) Y.Itô ex Backeb.,Lobivia pentlandii (Hook.) Britton & Rose,Lobivia pentlandii (Hook.) Britton & Rose,Lobivia pentlandii (Hook.) Britton & Rose,Lobivia pentlandii (Hook.) Britton & Rose,Acanthocalycium rhodotrichum subsp. rhodotrichum,Acanthocalycium rhodotrichum (K.Schum.) Schlumpb.,Lobivia,Acanthocalycium
674373,Sassafras officinale Siebold,Lindera triloba (Siebold & Zucc.) Blume,Lindera triloba (Siebold & Zucc.) Blume,Lindera triloba (Siebold & Zucc.) Blume,Lindera triloba (Siebold & Zucc.) Blume,Sassafras albidum (Nutt.) Nees,Sassafras albidum (Nutt.) Nees,Lindera,Sassafras
685048,Onosma incanescens DC.,Onosma rostellata Lehm.,Onosma rostellata Lehm.,Onosma rostellata Lehm.,Onosma rostellata Lehm.,Maharanga incanescens (DC.) L.Cecchi & Hilger,Maharanga incanescens (DC.) L.Cecchi & Hilger,Onosma,Maharanga
696812,Laserpitium loscosii (Lange) Calest.,Thapsia asclepium L.,Thapsia asclepium L.,Thapsia asclepium L.,Thapsia asclepium L.,Ferula loscosii (Lange) Willk.,Ferula loscosii (Lange) Willk.,Thapsia,Ferula
696817,Elaeoselinum loscosii Lange,Thapsia asclepium L.,Thapsia asclepium L.,Thapsia asclepium L.,Thapsia asclepium L.,Ferula loscosii (Lange) Willk.,Ferula loscosii (Lange) Willk.,Thapsia,Ferula
720529,Vandellia diffusa Blanco,Torenia thouarsii (Cham. & Schltdl.) Kuntze,Torenia thouarsii (Cham. & Schltdl.) Kuntze,Torenia thouarsii (Cham. & Schltdl.) Kuntze,Torenia thouarsii (Cham. & Schltdl.) Kuntze,"Yamazakia pusilla (Willd.) W.R.Barker, Y.S.Liang & Wannan","Yamazakia pusilla (Willd.) W.R.Barker, Y.S.Liang & Wannan",Torenia,Yamazakia
723566,Cinnamomum tomentosum D.Don,Phoebe cathia (D.Don) Kosterm.,Phoebe cathia (D.Don) Kosterm.,Phoebe cathia (D.Don) Kosterm.,Phoebe cathia (D.Don) Kosterm.,Machilus tomentosus (D.Don) M.Gangop.,Machilus tomentosus (D.Don) M.Gangop.,Phoebe,Machilus
724549,Pterocarpus cultratus Vell.,Pterocarpus rohrii Vahl,Pterocarpus rohrii Vahl,Pterocarpus rohrii Vahl,Pterocarpus rohrii Vahl,Lonchocarpus cultratus (Vell.) A.M.G.Azevedo & H.C.Lima,Lonchocarpus cultratus (Vell.) A.M.G.Azevedo & H.C.Lima,Pterocarpus,Lonchocarpus
724778,Strombocarpa odorata (Torr. & Frém.) A.Gray,Strombocarpa pubescens (Benth.) A.Gray,Strombocarpa pubescens (Benth.) A.Gray,Strombocarpa pubescens (Benth.) A.Gray,Strombocarpa pubescens (Benth.) A.Gray,Neltuma odorata (Torr. & Frém.) C.E.Hughes & G.P.Lewis,Neltuma odorata (Torr. & Frém.) C.E.Hughes & G.P.Lewis,Strombocarpa,Neltuma
